dataset,program_name,program,id,cmd_key,dataset_uoa,compile_flag,result
cbench,cbench-automotive-bitcount,cbench-automotive-bitcount,1,,,-fcrossjumping -ftree-ter -fwrapv,"{'best_result': 11897, 'compile_flag': '-fcrossjumping -ftree-ter'}"
cbench,cbench-automotive-qsort1,cbench-automotive-qsort1,2,,,-fcrossjumping -fexpensive-optimizations -flive-range-shrinkage -ftree-ter -fwrapv,"{'best_result': 6096, 'compile_flag': '-fcrossjumping -fexpensive-optimizations -flive-range-shrinkage -ftree-ter'}"
cbench,cbench-automotive-susan-c,cbench-automotive-susan,3,corners,dataset_uoa,-fcrossjumping -flive-range-shrinkage -fsingle-precision-constant -ftree-ter -fwrapv,"{'best_result': 42462, 'compile_flag': '-fcrossjumping -flive-range-shrinkage -fsingle-precision-constant -ftree-ter'}"
cbench,cbench-automotive-susan-e,cbench-automotive-susan,4,edges,dataset_uoa,-fcrossjumping -flive-range-shrinkage -fsingle-precision-constant -ftree-ter -fwrapv,"{'best_result': 42462, 'compile_flag': '-fcrossjumping -flive-range-shrinkage -fsingle-precision-constant -ftree-ter'}"
cbench,cbench-automotive-susan-s,cbench-automotive-susan,5,smoothing,dataset_uoa,-fcrossjumping -flive-range-shrinkage -fsingle-precision-constant -ftree-ter -fwrapv,"{'best_result': 42462, 'compile_flag': '-fcrossjumping -flive-range-shrinkage -fsingle-precision-constant -ftree-ter'}"
cbench,cbench-bzip2-d,cbench-bzip2,6,decode,,-fcrossjumping -fexpensive-optimizations -fipa-pure-const -flive-range-shrinkage -fpack-struct,"{'best_result': 141782, 'compile_flag': '-fcrossjumping -fexpensive-optimizations -fipa-pure-const -flive-range-shrinkage -fpack-struct'}"
cbench,cbench-bzip2-e,cbench-bzip2,7,encode,,-fcrossjumping -fexpensive-optimizations -fipa-pure-const -flive-range-shrinkage -fpack-struct,"{'best_result': 141782, 'compile_flag': '-fcrossjumping -fexpensive-optimizations -fipa-pure-const -flive-range-shrinkage -fpack-struct'}"
cbench,cbench-consumer-jpeg-c,cbench-consumer-jpeg-c,8,,,-fcrossjumping -fexpensive-optimizations -fipa-icf -flive-range-shrinkage -foptimize-sibling-calls,"{'best_result': 259241, 'compile_flag': '-fcrossjumping -fexpensive-optimizations -fipa-icf -flive-range-shrinkage -foptimize-sibling-calls'}"
cbench,cbench-consumer-jpeg-d,cbench-consumer-jpeg-d,9,,,-fcrossjumping -fexpensive-optimizations -fipa-icf -fipa-pure-const -flive-range-shrinkage,"{'best_result': 252932, 'compile_flag': '-fcrossjumping -fexpensive-optimizations -fipa-icf -fipa-pure-const -flive-range-shrinkage'}"
cbench,cbench-consumer-lame,cbench-consumer-lame,10,,,-fcrossjumping -fexpensive-optimizations -ffinite-math-only -fipa-icf -flive-range-shrinkage,"{'best_result': 297226, 'compile_flag': '-fcrossjumping -fexpensive-optimizations -ffinite-math-only -fipa-icf -flive-range-shrinkage'}"
cbench,cbench-consumer-tiff2bw,cbench-consumer-tiff2bw,12,,,-fcrossjumping -fexceptions -fexpensive-optimizations -ffinite-math-only -flive-range-shrinkage,"{'best_result': 393873, 'compile_flag': '-fcrossjumping -fexceptions -fexpensive-optimizations -ffinite-math-only -flive-range-shrinkage'}"
cbench,cbench-consumer-tiff2dither,cbench-consumer-tiff2dither,13,,,-fcrossjumping -fexceptions -fexpensive-optimizations -ffinite-math-only -flive-range-shrinkage,"{'best_result': 391106, 'compile_flag': '-fcrossjumping -fexceptions -fexpensive-optimizations -ffinite-math-only -flive-range-shrinkage'}"
cbench,cbench-consumer-tiff2median,cbench-consumer-tiff2median,14,,,-fcrossjumping -fexceptions -fexpensive-optimizations -ffinite-math-only -fipa-pure-const,"{'best_result': 391651, 'compile_flag': '-fcrossjumping -fexceptions -fexpensive-optimizations -ffinite-math-only -fipa-pure-const'}"
cbench,cbench-consumer-tiff2rgba,cbench-consumer-tiff2rgba,15,,,-fcrossjumping -fexceptions -fexpensive-optimizations -ffinite-math-only -flive-range-shrinkage,"{'best_result': 400866, 'compile_flag': '-fcrossjumping -fexceptions -fexpensive-optimizations -ffinite-math-only -flive-range-shrinkage'}"
cbench,cbench-network-dijkstra,cbench-network-dijkstra,16,,,-ftree-ter -fwrapv,"{'best_result': 5525, 'compile_flag': '-ftree-ter'}"
cbench,cbench-network-patricia,cbench-network-patricia,17,,,-fcrossjumping -fexpensive-optimizations -ftree-ter -fwrapv,"{'best_result': 7605, 'compile_flag': '-fcrossjumping -fexpensive-optimizations -ftree-ter'}"
cbench,cbench-office-stringsearch2,cbench-office-stringsearch2,21,,,-fcrossjumping -fwrapv,"{'best_result': 4466, 'compile_flag': '-fcrossjumping'}"
cbench,cbench-security-blowfish-d,cbench-security-blowfish,22,decode,,-fcrossjumping -fipa-ra -flive-range-shrinkage -ftree-ter -fwrapv,"{'best_result': 19984, 'compile_flag': '-fcrossjumping -fipa-ra -flive-range-shrinkage -ftree-ter'}"
cbench,cbench-security-blowfish-e,cbench-security-blowfish,23,encode,,-fcrossjumping -fipa-ra -flive-range-shrinkage -ftree-ter -fwrapv,"{'best_result': 19984, 'compile_flag': '-fcrossjumping -fipa-ra -flive-range-shrinkage -ftree-ter'}"
cbench,cbench-security-rijndael-d,cbench-security-rijndael,26,decode,,-fcrossjumping -flive-range-shrinkage -fwrapv,"{'best_result': 54384, 'compile_flag': '-fcrossjumping -flive-range-shrinkage'}"
cbench,cbench-security-rijndael-e,cbench-security-rijndael,27,encode,,-fcrossjumping -flive-range-shrinkage -fwrapv,"{'best_result': 54384, 'compile_flag': '-fcrossjumping -flive-range-shrinkage'}"
cbench,cbench-security-sha,cbench-security-sha,28,,,-fwrapv,"{'best_result': 5964, 'compile_flag': ''}"
cbench,cbench-telecom-adpcm-c,cbench-telecom-adpcm-c,29,,,-ftree-ter -fwrapv,"{'best_result': 4220, 'compile_flag': '-ftree-ter'}"
cbench,cbench-telecom-adpcm-d,cbench-telecom-adpcm-d,30,,,-fpack-struct -ftree-ter -fwrapv,"{'best_result': 4198, 'compile_flag': '-fpack-struct -ftree-ter'}"
cbench,cbench-telecom-crc32,cbench-telecom-crc32,31,,,-fomit-frame-pointer -ftree-ter -fwrapv,"{'best_result': 4138, 'compile_flag': '-fomit-frame-pointer -ftree-ter'}"
cbench,cbench-telecom-gsm,cbench-telecom-gsm,32,,,-fcrossjumping -fexpensive-optimizations -fipa-icf -fipa-pure-const -flive-range-shrinkage,"{'best_result': 107408, 'compile_flag': '-fcrossjumping -fexpensive-optimizations -fipa-icf -fipa-pure-const -flive-range-shrinkage'}"
