dataset,program_name,program,id,cmd_key,dataset_uoa,compile_flag,result
cbench,cbench-automotive-bitcount,cbench-automotive-bitcount,1,,,-O0,12105
cbench,cbench-automotive-qsort1,cbench-automotive-qsort1,2,,,-O0,6192
cbench,cbench-automotive-susan-c,cbench-automotive-susan,3,corners,dataset_uoa,-O0,45678
cbench,cbench-automotive-susan-e,cbench-automotive-susan,4,edges,dataset_uoa,-O0,45678
cbench,cbench-automotive-susan-s,cbench-automotive-susan,5,smoothing,dataset_uoa,-O0,45678
cbench,cbench-bzip2-d,cbench-bzip2,6,decode,,-O0,146088
cbench,cbench-bzip2-e,cbench-bzip2,7,encode,,-O0,146088
cbench,cbench-consumer-jpeg-c,cbench-consumer-jpeg-c,8,,,-O0,264069
cbench,cbench-consumer-jpeg-d,cbench-consumer-jpeg-d,9,,,-O0,257180
cbench,cbench-consumer-lame,cbench-consumer-lame,10,,,-O0,301398
cbench,cbench-consumer-tiff2bw,cbench-consumer-tiff2bw,12,,,-O0,400101
cbench,cbench-consumer-tiff2dither,cbench-consumer-tiff2dither,13,,,-O0,397354
cbench,cbench-consumer-tiff2median,cbench-consumer-tiff2median,14,,,-O0,397705
cbench,cbench-consumer-tiff2rgba,cbench-consumer-tiff2rgba,15,,,-O0,407136
cbench,cbench-network-dijkstra,cbench-network-dijkstra,16,,,-O0,5561
cbench,cbench-network-patricia,cbench-network-patricia,17,,,-O0,7903
cbench,cbench-office-stringsearch2,cbench-office-stringsearch2,21,,,-O0,4642
cbench,cbench-security-blowfish-d,cbench-security-blowfish,22,decode,,-O0,21320
cbench,cbench-security-blowfish-e,cbench-security-blowfish,23,encode,,-O0,21320
cbench,cbench-security-rijndael-d,cbench-security-rijndael,26,decode,,-O0,54464
cbench,cbench-security-rijndael-e,cbench-security-rijndael,27,encode,,-O0,54464
cbench,cbench-security-sha,cbench-security-sha,28,,,-O0,5964
cbench,cbench-telecom-adpcm-c,cbench-telecom-adpcm-c,29,,,-O0,4236
cbench,cbench-telecom-adpcm-d,cbench-telecom-adpcm-d,30,,,-O0,4222
cbench,cbench-telecom-crc32,cbench-telecom-crc32,31,,,-O0,4174
cbench,cbench-telecom-gsm,cbench-telecom-gsm,32,,,-O0,108574
